Key,ExDate,Year,Month,julian_day,Treatment,Rep,Lake,Site_water,I_CHL,I_CHL20,I_CHL2,I_CHLGFF,F_CHL,F_CHL20,F_CHL2,F_CHLGFF
2019LE225Q5,8/13/19,2019,Aug,225,quagga,R5,LE,WE4,5.35574,1.07614,3.65274,1.22694,1.937,1.2025,0.988,0.2821
2019LE225Q6,8/13/19,2019,Aug,225,quagga,R6,LE,WE4,5.04374,1.24644,3.82174,1.41674,2.314,1.339,0.936,0.32175
2019LE261C1,9/18/19,2019,Sep,261,control,R1,LE,WE4,2.99,1.4235,1.456,0.5655,2.8275,1.39425,1.37475,0.429
2019LE261C2,9/18/19,2019,Sep,261,control,R2,LE,WE4,3.1915,1.46575,1.456,0.54275,2.6325,1.45275,1.37475,0.4745
2019LE261C3,9/18/19,2019,Sep,261,control,R3,LE,WE4,3.0485,1.55675,1.2675,0.481,2.9055,1.62825,1.508,0.442
2019LE261Q1,9/18/19,2019,Sep,261,quagga,R1,LE,WE4,2.8665,1.41375,1.44625,0.58825,1.4625,1.06275,0.69875,0.1079
2019LE261Q2,9/18/19,2019,Sep,261,quagga,R2,LE,WE4,2.9835,1.49825,1.3455,0.48425,1.4365,1.07575,0.91325,0.128375
2019LE261Q3,9/18/19,2019,Sep,261,quagga,R3,LE,WE4,2.925,1.5275,1.47875,0.507,1.6055,1.0335,0.715,0.092625
2019LE261Q4,9/18/19,2019,Sep,261,quagga,R4,LE,WE4,2.7365,1.56325,1.4365,0.48425,1.326,0.99775,0.65,0.093275
2019SB163C1,6/12/19,2019,Jun,163,control,R1,SB,SB14,8.0054,5.6407,1.5977,0.46735,8.3434,6.1087,1.6042,0.5031
2019SB163C2,6/12/19,2019,Jun,163,control,R2,SB,SB14,8.1354,6.1347,1.9747,0.5018,8.1874,5.3742,2.1372,0.53885
2019SB163C3,6/12/19,2019,Jun,163,control,R3,SB,SB14,8.4084,6.1217,1.5847,0.4563,8.5644,6.3622,1.5587,0.51805
2019SB163Q1,6/12/19,2019,Jun,163,quagga,R1,SB,SB14,8.2394,5.8682,1.6887,0.4615,7.4724,5.4132,1.5652,0.35555
2019SB163Q2,6/12/19,2019,Jun,163,quagga,R2,SB,SB14,8.3434,5.2117,1.9682,0.58695,7.3164,5.7902,1.5067,0.35295
2019SB163Q3,6/12/19,2019,Jun,163,quagga,R3,SB,SB14,7.4854,6.0632,1.6107,0.54275,7.9404,5.6797,2.6767,0.33865
2019SB163Q4,6/12/19,2019,Jun,163,quagga,R4,SB,SB14,8.2524,5.7382,1.5522,0.53105,7.3944,5.0297,1.4027,0.3965
2019SB191C1,7/10/19,2019,Jul,191,control,R1,SB,SB14,8.294,6.63,3.562,0.62855,8.996,6.266,3.6205,0.65
2019SB191C2,7/10/19,2019,Jul,191,control,R2,SB,SB14,9.958,6.474,3.5295,0.6695,8.762,6.63,3.7505,0.6695
2019SB191C3,7/10/19,2019,Jul,191,control,R3,SB,SB14,9.62,6.3765,3.9975,0.6292,8.788,6.955,3.601,0.6253
2019SB191Q1,7/10/19,2019,Jul,191,quagga,R1,SB,SB14,9.555,6.695,3.406,0.676,8.372,6.474,3.5295,0.57395
2019SB191Q2,7/10/19,2019,Jul,191,quagga,R2,SB,SB14,9.048,6.76,3.6205,0.6955,7.787,6.318,3.6985,0.5265
2019SB191Q3,7/10/19,2019,Jul,191,quagga,R3,SB,SB14,9.529,6.63,3.7245,0.61035,9.399,6.695,3.8155,0.6292
2019SB191Q4,7/10/19,2019,Jul,191,quagga,R4,SB,SB14,7.969,6.4675,3.6985,0.6344,9.334,6.565,3.6075,0.53235
2019SB206C1,7/25/19,2019,Jul,206,control,R1,SB,SB14,18.98,14.885,7.54,1.625,20.93,15.99,7.787,1.742
2019SB206C2,7/25/19,2019,Jul,206,control,R2,SB,SB14,17.29,15.34,7.735,1.534,21.32,15.99,7.215,1.742
2019SB206C3,7/25/19,2019,Jul,206,control,R3,SB,SB14,19.24,16.38,6.903,2.002,20.67,15.86,7.761,1.859
2019SB206Q1,7/25/19,2019,Jul,206,quagga,R1,SB,SB14,18.85,14.56,7.293,1.469,21.32,15.86,7.527,1.2883
2019SB206Q2,7/25/19,2019,Jul,206,quagga,R2,SB,SB14,21.06,15.21,7.358,1.547,20.67,15.6,7.592,1.482
2019SB206Q3,7/25/19,2019,Jul,206,quagga,R3,SB,SB14,18.2,15.99,7.579,1.755,20.41,16.77,7.54,1.443
2019SB206Q4,7/25/19,2019,Jul,206,quagga,R4,SB,SB14,19.63,16.12,7.566,1.664,20.8,15.86,7.332,1.391
2019SB220C1,8/8/19,2019,Aug,220,control,R1,SB,SB14,11.44,6.24,3.263,1.6445,11.648,6.2855,3.2435,1.443
2019SB220C2,8/8/19,2019,Aug,220,control,R2,SB,SB14,10.842,6.3375,3.3085,1.807,11.544,6.4675,3.4775,1.495
2019SB220C3,8/8/19,2019,Aug,220,control,R3,SB,SB14,6.851,3.822,2.0475,1.001,6.201,4.0365,2.041,0.7995
2019SB220C4,8/8/19,2019,Aug,220,control,R4,SB,SB14,6.526,3.575,1.976,0.91,6.136,4.2055,2.145,0.754
2019SB220C5,8/8/19,2019,Aug,220,control,R5,SB,SB14,7.15,2.0865,3.094,1.794,7.241,2.158,3.6725,0.884
2019SB220C6,8/8/19,2019,Aug,220,control,R6,SB,SB14,6.812,2.0475,2.925,2.1125,6.552,2.314,4.004,0.9035
2019SB220Q1,8/8/19,2019,Aug,220,quagga,R1,SB,SB14,10.946,6.032,3.081,1.5275,10.023,5.9215,3.1135,1.105
2019SB220Q2,8/8/19,2019,Aug,220,quagga,R2,SB,SB14,11.596,5.9475,3.497,1.573,10.309,5.6615,3.2565,1.144
2019SB220Q3,8/8/19,2019,Aug,220,quagga,R3,SB,SB14,6.474,3.6335,2.2945,0.884,5.915,3.77,1.9045,0.60775
2019SB220Q4,8/8/19,2019,Aug,220,quagga,R4,SB,SB14,6.617,3.3865,2.054,0.9555,6.487,4.108,1.976,0.65
2019SB220Q5,8/8/19,2019,Aug,220,quagga,R5,SB,SB14,7.072,2.0085,2.574,1.8135,4.927,2.041,2.171,1.053
2019SB220Q6,8/8/19,2019,Aug,220,quagga,R6,SB,SB14,6.799,1.8395,1.8265,2.08,5.031,1.9045,2.691,0.8515
2019SB234C1,8/22/19,2019,Aug,234,control,R1,SB,SB14,14.95,10.79,3.4515,1.5275,14.04,12.415,3.9065,1.742
2019SB234C2,8/22/19,2019,Aug,234,control,R2,SB,SB14,14.95,11.18,3.458,1.69,14.3,11.44,4.121,1.69
2019SB234C3,8/22/19,2019,Aug,234,control,R3,SB,SB14,14.82,12.155,3.4775,1.768,15.6,12.545,3.9065,1.664
2019SB234Q1,8/22/19,2019,Aug,234,quagga,R1,SB,SB14,15.73,11.765,3.5295,1.7485,15.47,11.83,3.861,2.1125
2019SB234Q2,8/22/19,2019,Aug,234,quagga,R2,SB,SB14,15.73,11.895,3.8805,1.69,14.82,12.155,3.835,1.5665
2019SB234Q3,8/22/19,2019,Aug,234,quagga,R3,SB,SB14,15.21,10.985,3.7895,1.716,14.82,12.48,3.5425,1.4885
2019SB234Q4,8/22/19,2019,Aug,234,quagga,R4,SB,SB14,15.86,12.155,3.939,1.5665,14.95,11.635,3.796,1.599
2019SB249C1,9/6/19,2019,Sep,249,control,R1,SB,SB14,24.18,17.095,3.068,1.677,25.61,18.07,3.77,1.7615
2019SB249C2,9/6/19,2019,Sep,249,control,R2,SB,SB14,24.57,17.68,3.276,2.236,24.44,19.5975,3.5815,1.742
2019SB249C3,9/6/19,2019,Sep,249,control,R3,SB,SB14,22.75,19.695,3.7505,2.119,24.18,19.15875,3.6335,2.002
2019SB249Q1,9/6/19,2019,Sep,249,quagga,R1,SB,SB14,25.09,19.35375,3.3605,2.0605,23.66,19.305,3.3605,1.482
2019SB249Q2,9/6/19,2019,Sep,249,quagga,R2,SB,SB14,24.31,19.0125,3.653,1.963,23.14,18.33,3.6075,1.5795
2019SB249Q3,9/6/19,2019,Sep,249,quagga,R3,SB,SB14,24.18,16.705,3.1265,2.002,23.01,17.615,3.458,1.2675
2019SB249Q4,9/6/19,2019,Sep,249,quagga,R4,SB,SB14,24.31,17.745,4.42,2.197,23.14,17.16,3.718,1.573
