ref_genotype,gene_name,gene
LE19-195,BHKFFO_12680,group_6567
LE19-195,BHKFFO_16780,group_6580
LE19-195,BHKFFO_03915,group_6594
LE19-195,BHKFFO_12410,group_6613
LE19-195,BHKFFO_12420,group_6614
LE19-195,BHKFFO_08290,group_6627
LE19-195,BHKFFO_07870,group_6650
LE19-195,BHKFFO_00750,group_6673
LE19-195,BHKFFO_15335,group_6680
LE19-195,BHKFFO_05865,group_6704
LE19-195,BHKFFO_13340,group_6843
LE19-195,BHKFFO_13650,group_6873
LE19-195,BHKFFO_12240,group_6913
LE19-195,BHKFFO_06225,group_6969
LE19-195,BHKFFO_04155,group_6975
LE19-195,BHKFFO_03420,group_6994
LE19-195,BHKFFO_15525,group_7025
LE19-195,BHKFFO_08250,group_7027
LE19-195,BHKFFO_02370,group_7048
LE19-195,BHKFFO_17300,group_7089
LE19-195,BHKFFO_05045,group_7098
LE19-195,BHKFFO_10805,group_7122
LE19-195,BHKFFO_11290,group_7223
LE19-195,BHKFFO_00620,group_7248
LE19-195,BHKFFO_04140,group_7250
LE19-195,BHKFFO_15375,group_7300
LE19-195,BHKFFO_15365,group_7301
LE19-195,BHKFFO_14825,group_7312
LE19-195,BHKFFO_11520,group_7463
LE19-195,BHKFFO_07415,group_7648
LE19-195,BHKFFO_03065,group_7684
LE19-195,BHKFFO_09420,group_7762
LE19-195,BHKFFO_10470,group_7799
LE19-195,BHKFFO_04100,group_7803
LE19-195,BHKFFO_09765,group_784
LE19-195,BHKFFO_07945,group_7847
LE19-195,BHKFFO_05955,group_7905
LE19-195,BHKFFO_11425,group_7908
LE19-195,BHKFFO_04825,group_7920
LE19-195,BHKFFO_01970,group_7923
LE19-195,BHKFFO_01960,group_7924
LE19-195,BHKFFO_12150,group_7929
LE19-195,BHKFFO_11550,group_7930
LE19-195,BHKFFO_12790,group_8377
LE19-195,BHKFFO_09475,group_8422
LE19-195,BHKFFO_12545,group_8531
LE19-195,BHKFFO_16070,group_8591
LE19-195,BHKFFO_09745,group_8714
LE19-195,BHKFFO_05140,group_8734
LE19-195,BHKFFO_04900,group_8771
LE19-195,BHKFFO_14900,group_8848
LE19-195,BHKFFO_01070,group_8850
LE19-195,BHKFFO_17515,group_8913
LE19-195,BHKFFO_15535,group_8915
LE19-195,BHKFFO_03325,group_8947
LE19-195,BHKFFO_14695,group_90
LE19-195,BHKFFO_09100,group_9012
LE19-195,BHKFFO_16075,group_9107
LE19-195,BHKFFO_05950,group_9480
LE19-195,BHKFFO_01415,group_9660
LE19-195,BHKFFO_09470,group_9691
LE19-195,BHKFFO_12550,group_9732
LE19-195,BHKFFO_13885,group_9751
LE19-195,BHKFFO_01750,group_9765
LE19-195,BHKFFO_06495,grxD
LE19-195,BHKFFO_03160,himA
LE19-195,BHKFFO_03280,hisA
LE19-195,BHKFFO_14895,hisM
LE19-195,BHKFFO_02945,hoxU
LE19-195,BHKFFO_14605,htpX
LE19-195,BHKFFO_07680,hyuB
LE19-195,BHKFFO_01180,ilvB
LE19-195,BHKFFO_12950,infA
LE19-195,BHKFFO_13565,ispE
LE19-195,BHKFFO_07655,ispG
LE19-195,BHKFFO_02185,jag
LE19-195,BHKFFO_11975,labA
LE19-195,BHKFFO_16100,lepB
LE19-195,BHKFFO_05420,leuB
LE19-195,BHKFFO_11375,lnt
LE19-195,BHKFFO_01850,menA
LE19-195,BHKFFO_17205,metK
LE19-195,BHKFFO_11630,minD
LE19-195,BHKFFO_11625,minE
LE19-195,BHKFFO_10090,mlaF
LE19-195,BHKFFO_12055,moaD
LE19-195,BHKFFO_01975,mpaA
LE19-195,BHKFFO_08170,mrp
LE19-195,BHKFFO_12815,murQ
LE19-195,BHKFFO_01630,nAGPA
LE19-195,BHKFFO_06755,nfnB
LE19-195,BHKFFO_16510,nrdR
LE19-195,BHKFFO_07350,ntcA
LE19-195,BHKFFO_10415,nth
LE19-195,BHKFFO_01380,nusA
LE19-195,BHKFFO_00720,penP
LE19-195,BHKFFO_09730,petA
LE19-195,BHKFFO_10235,petL
LE19-195,BHKFFO_08760,petP
LE19-195,BHKFFO_02300,pgeF
LE19-195,BHKFFO_00010,pgpB
LE19-195,BHKFFO_04870,phaC
LE19-195,BHKFFO_01635,phaF
LE19-195,BHKFFO_16085,pheA
LE19-195,BHKFFO_01350,pilF
LE19-195,BHKFFO_10845,plsX
LE19-195,BHKFFO_01025,pntB
LE19-195,BHKFFO_02080,ppiB
LE19-195,BHKFFO_08835,pQQ
LE19-195,BHKFFO_02730,pqqL
LE19-195,BHKFFO_09380,proB
LE19-195,BHKFFO_14740,psaC
LE19-195,BHKFFO_04435,psaF
LE19-195,BHKFFO_10300,psaI
LE19-195,BHKFFO_02100,psaK
LE19-195,BHKFFO_07940,psaM
LE19-195,BHKFFO_09020,psbO
LE19-195,BHKFFO_16505,psbT
LE19-195,BHKFFO_03060,psbV
LE19-195,BHKFFO_06235,pstB
LE19-195,BHKFFO_01420,ptaN
LE19-195,BHKFFO_02455,pth
LE19-195,BHKFFO_11510,purA
LE19-195,BHKFFO_06775,purD
LE19-195,BHKFFO_04835,putP
LE19-195,BHKFFO_02215,pykF
LE19-195,BHKFFO_12575,pyrH
LE19-195,BHKFFO_10230,radA
LE19-195,BHKFFO_07395,rbcS
LE19-195,BHKFFO_05435,rfbC
LE19-195,BHKFFO_05040,ribE
LE19-195,BHKFFO_01385,rimP
LE19-195,BHKFFO_07955,rlmL
LE19-195,BHKFFO_11350,rnd
LE19-195,BHKFFO_02170,rnpA
LE19-195,BHKFFO_10640,rplB
LE19-195,BHKFFO_10625,rplC
LE19-195,BHKFFO_10685,rplE
LE19-195,BHKFFO_10695,rplF
LE19-195,BHKFFO_04125,rplI
LE19-195,BHKFFO_10675,rplN
LE19-195,BHKFFO_10660,rplP
LE19-195,BHKFFO_12975,rplQ
LE19-195,BHKFFO_10700,rplR
LE19-195,BHKFFO_12820,rplU
LE19-195,BHKFFO_10650,rplV
LE19-195,BHKFFO_10635,rplW
LE19-195,BHKFFO_10680,rplX
LE19-195,BHKFFO_11505,rplY
LE19-195,BHKFFO_12825,rpmA
LE19-195,BHKFFO_10665,rpmC
LE19-195,BHKFFO_12955,rpmJ
LE19-195,BHKFFO_12970,rpoA
LE19-195,BHKFFO_17605,rpoC1
LE19-195,BHKFFO_10435,rpoE
LE19-195,BHKFFO_10655,rpsC
LE19-195,BHKFFO_10705,rpsE
LE19-195,BHKFFO_10690,rpsH
LE19-195,BHKFFO_12965,rpsK
LE19-195,BHKFFO_12960,rpsM
LE19-195,BHKFFO_10670,rpsQ
LE19-195,BHKFFO_01680,rpsT
LE19-195,BHKFFO_17270,rRM
LE19-195,BHKFFO_11985,rsbW
LE19-195,BHKFFO_13640,rseP
LE19-195,BHKFFO_10150,rsfS
LE19-195,BHKFFO_13655,rsmG
LE19-195,BHKFFO_04795,ruvA
LE19-195,BHKFFO_00270,sasA
LE19-195,BHKFFO_16860,scpB
LE19-195,BHKFFO_10785,sds
LE19-195,BHKFFO_06150,sEC59
LE19-195,BHKFFO_14625,shc
LE19-195,BHKFFO_13330,sirB1
LE19-195,BHKFFO_08965,smpB
LE19-195,BHKFFO_11980,sseA
LE19-195,BHKFFO_04085,tab2
LE19-195,BHKFFO_01685,tatD
LE19-195,BHKFFO_07935,terC
LE19-195,BHKFFO_07905,thrS
LE19-195,BHKFFO_05230,tic20
LE19-195,BHKFFO_17525,tpiA
LE19-195,BHKFFO_00715,trmJ
LE19-195,BHKFFO_02105,trpF
LE19-195,BHKFFO_12980,truA
LE19-195,BHKFFO_07670,truB
LE19-195,BHKFFO_07295,trxA
LE19-195,BHKFFO_14085,tusA
LE19-195,BHKFFO_02380,tyrS
LE19-195,BHKFFO_03205,uppP
LE19-195,BHKFFO_14420,uppS
LE19-195,BHKFFO_03150,ureE
LE19-195,BHKFFO_11295,uvrD
LE19-195,BHKFFO_05375,wzb
LE19-195,BHKFFO_12245,ybjT
LE19-195,BHKFFO_08185,ycbX
LE19-195,BHKFFO_02725,ycf12
LE19-195,BHKFFO_01495,ycf20
LE19-195,BHKFFO_07555,ycf35
LE19-195,BHKFFO_08690,ycf37
LE19-195,BHKFFO_02085,ycf4
LE19-195,BHKFFO_03135,ycf53
LE19-195,BHKFFO_07635,ycf55
LE19-195,BHKFFO_01595,ycjU
LE19-195,BHKFFO_10475,yfcH
LE19-195,BHKFFO_01705,yhbS
LE19-195,BHKFFO_02180,yidC
LE19-195,BHKFFO_08285,ylmH
LE19-195,BHKFFO_01375,ylxR
LE19-195,BHKFFO_02315,yqxC
LE19-195,BHKFFO_10270,zwf
