ref_genotype,gene_name,gene
LE19-114,OCDKLD_13065,group_5209
LE19-114,OCDKLD_13585,group_5221
LE19-114,OCDKLD_21215,group_5445
LE19-114,OCDKLD_07650,group_5596
LE19-114,OCDKLD_18615,group_5613
LE19-114,OCDKLD_13450,group_5620
LE19-114,OCDKLD_11535,group_5658
LE19-114,OCDKLD_13530,group_5694
LE19-114,OCDKLD_10215,group_573
LE19-114,OCDKLD_05915,group_5805
LE19-114,OCDKLD_01570,group_5824
LE19-114,OCDKLD_04390,group_5945
LE19-114,OCDKLD_10230,group_6075
LE19-114,OCDKLD_07315,group_6100
LE19-114,OCDKLD_20935,group_6103
LE19-114,OCDKLD_10045,group_6135
LE19-114,OCDKLD_20575,group_6227
LE19-114,OCDKLD_06820,group_6247
LE19-114,OCDKLD_01625,group_6268
LE19-114,OCDKLD_12370,group_6351
LE19-114,OCDKLD_16580,group_639
LE19-114,OCDKLD_20655,group_6551
LE19-114,OCDKLD_21770,group_6567
LE19-114,OCDKLD_14885,group_6580
LE19-114,OCDKLD_13455,group_6594
LE19-114,OCDKLD_22115,group_6613
LE19-114,OCDKLD_22125,group_6614
LE19-114,OCDKLD_15540,group_6627
LE19-114,OCDKLD_21095,group_6650
LE19-114,OCDKLD_12580,group_6673
LE19-114,OCDKLD_05620,group_6680
LE19-114,OCDKLD_16540,group_6704
LE19-114,OCDKLD_06640,group_6843
LE19-114,OCDKLD_20160,group_6873
LE19-114,OCDKLD_00050,group_6913
LE19-114,OCDKLD_04745,group_6926
LE19-114,OCDKLD_15250,group_6969
LE19-114,OCDKLD_05925,group_6975
LE19-114,OCDKLD_02115,group_6994
LE19-114,OCDKLD_05670,group_7025
LE19-114,OCDKLD_19735,group_7027
LE19-114,OCDKLD_03205,group_7048
LE19-114,OCDKLD_13525,group_7089
LE19-114,OCDKLD_11150,group_7098
LE19-114,OCDKLD_04815,group_7122
LE19-114,OCDKLD_07780,group_7223
LE19-114,OCDKLD_19815,group_7248
LE19-114,OCDKLD_05910,group_7250
LE19-114,OCDKLD_08550,group_7300
LE19-114,OCDKLD_08540,group_7301
LE19-114,OCDKLD_12185,group_7312
LE19-114,OCDKLD_09250,group_7463
LE19-114,OCDKLD_19975,group_7648
LE19-114,OCDKLD_01770,group_7684
LE19-114,OCDKLD_02495,group_7762
LE19-114,OCDKLD_02680,group_7799
LE19-114,OCDKLD_06810,group_7803
LE19-114,OCDKLD_07900,group_784
LE19-114,OCDKLD_09615,group_7847
LE19-114,OCDKLD_06455,group_7905
LE19-114,OCDKLD_07715,group_7908
LE19-114,OCDKLD_20570,group_7920
LE19-114,OCDKLD_18610,group_7923
LE19-114,OCDKLD_18620,group_7924
LE19-114,OCDKLD_09935,group_7929
LE19-114,OCDKLD_13015,group_7930
LE19-114,OCDKLD_10505,group_8138
LE19-114,OCDKLD_01600,group_8377
LE19-114,OCDKLD_12365,group_8422
LE19-114,OCDKLD_20650,group_8531
LE19-114,OCDKLD_00995,group_8591
LE19-114,OCDKLD_01225,group_8714
LE19-114,OCDKLD_18325,group_8726
LE19-114,OCDKLD_18315,group_8727
LE19-114,OCDKLD_05030,group_8734
LE19-114,OCDKLD_04425,group_8771
LE19-114,OCDKLD_02950,group_8848
LE19-114,OCDKLD_05315,group_8850
LE19-114,OCDKLD_19175,group_8913
LE19-114,OCDKLD_05705,group_8915
LE19-114,OCDKLD_12685,group_8947
LE19-114,OCDKLD_18735,group_90
LE19-114,OCDKLD_17725,group_9012
LE19-114,OCDKLD_10495,group_9037
LE19-114,OCDKLD_01000,group_9107
LE19-114,OCDKLD_06450,group_9480
LE19-114,OCDKLD_16225,group_9660
LE19-114,OCDKLD_12360,group_9691
LE19-114,OCDKLD_20645,group_9732
LE19-114,OCDKLD_20680,group_9751
LE19-114,OCDKLD_03670,group_9765
LE19-114,OCDKLD_04005,grxD
LE19-114,OCDKLD_15940,himA
LE19-114,OCDKLD_02575,hisA
LE19-114,OCDKLD_21730,hisM
LE19-114,OCDKLD_13435,hoxU
LE19-114,OCDKLD_09805,htpX
LE19-114,OCDKLD_21675,hyuB
LE19-114,OCDKLD_15555,ilvB
LE19-114,OCDKLD_04530,infA
LE19-114,OCDKLD_00845,ispE
LE19-114,OCDKLD_21700,ispG
LE19-114,OCDKLD_11545,jag
LE19-114,OCDKLD_10210,labA
LE19-114,OCDKLD_01025,lepB
LE19-114,OCDKLD_09560,leuB
LE19-114,OCDKLD_07325,lnt
LE19-114,OCDKLD_05810,menA
LE19-114,OCDKLD_07145,metK
LE19-114,OCDKLD_01875,minD
LE19-114,OCDKLD_01880,minE
LE19-114,OCDKLD_11490,mlaF
LE19-114,OCDKLD_05835,moaD
LE19-114,OCDKLD_18605,mpaA
LE19-114,OCDKLD_11725,mrp
LE19-114,OCDKLD_05870,murQ
LE19-114,OCDKLD_09175,nAGPA
LE19-114,OCDKLD_02055,nfnB
LE19-114,OCDKLD_17205,nrdR
LE19-114,OCDKLD_14560,ntcA
LE19-114,OCDKLD_07075,nth
LE19-114,OCDKLD_21310,nusA
LE19-114,OCDKLD_12610,penP
LE19-114,OCDKLD_01210,petA
LE19-114,OCDKLD_02820,petL
LE19-114,OCDKLD_01685,petP
LE19-114,OCDKLD_09315,pgeF
LE19-114,OCDKLD_00170,pgpB
LE19-114,OCDKLD_04395,phaC
LE19-114,OCDKLD_09170,phaF
LE19-114,OCDKLD_01010,pheA
LE19-114,OCDKLD_04600,pilF
LE19-114,OCDKLD_20445,plsX
LE19-114,OCDKLD_05355,pntB
LE19-114,OCDKLD_19925,ppiB
LE19-114,OCDKLD_02195,pQQ
LE19-114,OCDKLD_05775,pqqL
LE19-114,OCDKLD_03295,proB
LE19-114,OCDKLD_14535,psaC
LE19-114,OCDKLD_16120,psaF
LE19-114,OCDKLD_00600,psaI
LE19-114,OCDKLD_12145,psaK
LE19-114,OCDKLD_09620,psaM
LE19-114,OCDKLD_12230,psbO
LE19-114,OCDKLD_17210,psbT
LE19-114,OCDKLD_01765,psbV
LE19-114,OCDKLD_15260,pstB
LE19-114,OCDKLD_16230,ptaN
LE19-114,OCDKLD_09700,pth
LE19-114,OCDKLD_09260,purA
LE19-114,OCDKLD_17715,purD
LE19-114,OCDKLD_20580,putP
LE19-114,OCDKLD_04955,pykF
LE19-114,OCDKLD_06935,pyrH
LE19-114,OCDKLD_02825,radA
LE19-114,OCDKLD_19995,rbcS
LE19-114,OCDKLD_09545,rfbC
LE19-114,OCDKLD_11145,ribE
LE19-114,OCDKLD_21315,rimP
LE19-114,OCDKLD_09600,rlmL
LE19-114,OCDKLD_18535,rnd
LE19-114,OCDKLD_11530,rnpA
LE19-114,OCDKLD_10750,rplB
LE19-114,OCDKLD_10735,rplC
LE19-114,OCDKLD_10795,rplE
LE19-114,OCDKLD_10805,rplF
LE19-114,OCDKLD_05895,rplI
LE19-114,OCDKLD_10785,rplN
LE19-114,OCDKLD_10770,rplP
LE19-114,OCDKLD_04555,rplQ
LE19-114,OCDKLD_10810,rplR
LE19-114,OCDKLD_05865,rplU
LE19-114,OCDKLD_10760,rplV
LE19-114,OCDKLD_10745,rplW
LE19-114,OCDKLD_10790,rplX
LE19-114,OCDKLD_09265,rplY
LE19-114,OCDKLD_05860,rpmA
LE19-114,OCDKLD_10775,rpmC
LE19-114,OCDKLD_04535,rpmJ
LE19-114,OCDKLD_04550,rpoA
LE19-114,OCDKLD_07975,rpoC1
LE19-114,OCDKLD_17425,rpoE
LE19-114,OCDKLD_10765,rpsC
LE19-114,OCDKLD_10815,rpsE
LE19-114,OCDKLD_10800,rpsH
LE19-114,OCDKLD_04545,rpsK
LE19-114,OCDKLD_04540,rpsM
LE19-114,OCDKLD_10780,rpsQ
LE19-114,OCDKLD_02630,rpsT
LE19-114,OCDKLD_13500,rRM
LE19-114,OCDKLD_10200,rsbW
LE19-114,OCDKLD_20150,rseP
LE19-114,OCDKLD_22265,rsfS
LE19-114,OCDKLD_20165,rsmG
LE19-114,OCDKLD_20545,ruvA
LE19-114,OCDKLD_08740,sasA
LE19-114,OCDKLD_03980,scpB
LE19-114,OCDKLD_04800,sds
LE19-114,OCDKLD_14675,sEC59
LE19-114,OCDKLD_09785,shc
LE19-114,OCDKLD_06650,sirB1
LE19-114,OCDKLD_21205,smpB
LE19-114,OCDKLD_10205,sseA
LE19-114,OCDKLD_06825,tab2
LE19-114,OCDKLD_02625,tatD
LE19-114,OCDKLD_09625,terC
LE19-114,OCDKLD_01450,thrS
LE19-114,OCDKLD_03245,tic20
LE19-114,OCDKLD_19165,tpiA
LE19-114,OCDKLD_12625,trkG
LE19-114,OCDKLD_12615,trmJ
LE19-114,OCDKLD_12150,trpF
LE19-114,OCDKLD_04560,truA
LE19-114,OCDKLD_21685,truB
LE19-114,OCDKLD_13580,trxA
LE19-114,OCDKLD_01835,tusA
LE19-114,OCDKLD_03200,tyrS
LE19-114,OCDKLD_17075,uppP
LE19-114,OCDKLD_06140,uppS
LE19-114,OCDKLD_15930,ureE
LE19-114,OCDKLD_07775,uvrD
LE19-114,OCDKLD_08215,wzb
LE19-114,OCDKLD_00045,ybjT
LE19-114,OCDKLD_11730,ycbX
LE19-114,OCDKLD_05760,ycf12
LE19-114,OCDKLD_09895,ycf20
LE19-114,OCDKLD_14420,ycf35
LE19-114,OCDKLD_11025,ycf37
LE19-114,OCDKLD_19930,ycf4
LE19-114,OCDKLD_01640,ycf53
LE19-114,OCDKLD_21720,ycf55
LE19-114,OCDKLD_09220,ycjU
LE19-114,OCDKLD_02685,yfcH
LE19-114,OCDKLD_02600,yhbS
LE19-114,OCDKLD_11540,yidC
LE19-114,OCDKLD_15535,ylmH
LE19-114,OCDKLD_21305,ylxR
LE19-114,OCDKLD_09295,yqxC
LE19-114,OCDKLD_00630,zwf
