ref_genotype,gene_name,gene
LE19-12,ALDGEK_10195,group_238
LE19-12,ALDGEK_06670,group_2929
LE19-12,ALDGEK_08375,group_2999
LE19-12,ALDGEK_20280,group_3246
LE19-12,ALDGEK_13580,group_3346
LE19-12,ALDGEK_17800,group_3365
LE19-12,ALDGEK_20445,group_3427
LE19-12,ALDGEK_06905,group_3473
LE19-12,ALDGEK_06940,group_3484
LE19-12,ALDGEK_01965,group_3491
LE19-12,ALDGEK_15770,group_3584
LE19-12,ALDGEK_13975,group_3763
LE19-12,ALDGEK_13125,group_3834
LE19-12,ALDGEK_01960,group_4296
LE19-12,ALDGEK_08090,group_4420
LE19-12,ALDGEK_06060,group_4466
LE19-12,ALDGEK_04490,group_4495
LE19-12,ALDGEK_02905,group_4511
LE19-12,ALDGEK_01450,group_4551
LE19-12,ALDGEK_01465,group_4581
LE19-12,ALDGEK_01455,group_4582
LE19-12,ALDGEK_19270,group_4589
LE19-12,ALDGEK_14170,group_466
LE19-12,ALDGEK_15395,group_4735
LE19-12,ALDGEK_15385,group_4736
LE19-12,ALDGEK_12145,group_4765
LE19-12,ALDGEK_15765,group_4814
LE19-12,ALDGEK_01730,group_4816
LE19-12,ALDGEK_15495,group_4862
LE19-12,ALDGEK_06700,group_5007
LE19-12,ALDGEK_02830,group_5015
LE19-12,ALDGEK_11590,group_5117
LE19-12,ALDGEK_20650,group_5175
LE19-12,ALDGEK_00635,group_5209
LE19-12,ALDGEK_13000,group_5221
LE19-12,ALDGEK_10350,group_5445
LE19-12,ALDGEK_20415,group_5596
LE19-12,ALDGEK_12815,group_5613
LE19-12,ALDGEK_13575,group_5620
LE19-12,ALDGEK_07990,group_5658
LE19-12,ALDGEK_20450,group_5694
LE19-12,ALDGEK_12495,group_573
LE19-12,ALDGEK_14920,group_5805
LE19-12,ALDGEK_01895,group_5824
LE19-12,ALDGEK_22155,group_5945
LE19-12,ALDGEK_12480,group_6075
LE19-12,ALDGEK_01950,group_6100
LE19-12,ALDGEK_08880,group_6103
LE19-12,ALDGEK_02600,group_6135
LE19-12,ALDGEK_19790,group_6227
LE19-12,ALDGEK_03070,group_6247
LE19-12,ALDGEK_01840,group_6268
LE19-12,ALDGEK_14745,group_6351
LE19-12,ALDGEK_18730,group_6551
LE19-12,ALDGEK_11295,group_6567
LE19-12,ALDGEK_19625,group_6580
LE19-12,ALDGEK_13570,group_6594
LE19-12,ALDGEK_16400,group_6613
LE19-12,ALDGEK_16385,group_6614
LE19-12,ALDGEK_08710,group_6627
LE19-12,ALDGEK_10515,group_6650
LE19-12,ALDGEK_20885,group_6673
LE19-12,ALDGEK_15685,group_6680
LE19-12,ALDGEK_09620,group_6704
LE19-12,ALDGEK_13445,group_6843
LE19-12,ALDGEK_03950,group_6873
LE19-12,ALDGEK_06620,group_6913
LE19-12,ALDGEK_08140,group_6926
LE19-12,ALDGEK_03710,group_6969
LE19-12,ALDGEK_14915,group_6975
LE19-12,ALDGEK_12070,group_6994
LE19-12,ALDGEK_15735,group_7025
LE19-12,ALDGEK_08755,group_7027
LE19-12,ALDGEK_01740,group_7048
LE19-12,ALDGEK_06130,group_7098
LE19-12,ALDGEK_08085,group_7122
LE19-12,ALDGEK_01440,group_7223
LE19-12,ALDGEK_22030,group_7248
LE19-12,ALDGEK_14925,group_7250
LE19-12,ALDGEK_14045,group_7300
LE19-12,ALDGEK_14035,group_7301
LE19-12,ALDGEK_02810,group_7312
LE19-12,ALDGEK_14125,group_7463
LE19-12,ALDGEK_06890,group_7648
LE19-12,ALDGEK_16030,group_7684
LE19-12,ALDGEK_17440,group_7762
LE19-12,ALDGEK_20120,group_7799
LE19-12,ALDGEK_21710,group_784
LE19-12,ALDGEK_03265,group_7847
LE19-12,ALDGEK_09560,group_7905
LE19-12,ALDGEK_01375,group_7908
LE19-12,ALDGEK_19785,group_7920
LE19-12,ALDGEK_12820,group_7923
LE19-12,ALDGEK_12445,group_7929
LE19-12,ALDGEK_00580,group_7930
LE19-12,ALDGEK_08325,group_8138
LE19-12,ALDGEK_01865,group_8377
LE19-12,ALDGEK_14750,group_8422
LE19-12,ALDGEK_18725,group_8531
LE19-12,ALDGEK_18535,group_8591
LE19-12,ALDGEK_10240,group_8714
LE19-12,ALDGEK_13760,group_8726
LE19-12,ALDGEK_13750,group_8727
LE19-12,ALDGEK_11930,group_8734
LE19-12,ALDGEK_22125,group_8771
LE19-12,ALDGEK_11250,group_8848
LE19-12,ALDGEK_05275,group_8850
LE19-12,ALDGEK_19170,group_8913
LE19-12,ALDGEK_15745,group_8915
LE19-12,ALDGEK_04495,group_8947
LE19-12,ALDGEK_15120,group_90
LE19-12,ALDGEK_15295,group_9012
LE19-12,ALDGEK_08315,group_9037
LE19-12,ALDGEK_18540,group_9107
LE19-12,ALDGEK_09565,group_9480
LE19-12,ALDGEK_18675,group_9660
LE19-12,ALDGEK_14755,group_9691
LE19-12,ALDGEK_18720,group_9732
LE19-12,ALDGEK_18755,group_9751
LE19-12,ALDGEK_10410,group_9765
LE19-12,ALDGEK_08350,grxD
LE19-12,ALDGEK_22255,himA
LE19-12,ALDGEK_17860,hisA
LE19-12,ALDGEK_11255,hisM
LE19-12,ALDGEK_10805,hoxU
LE19-12,ALDGEK_06800,htpX
LE19-12,ALDGEK_11165,hyuB
LE19-12,ALDGEK_08695,ilvB
LE19-12,ALDGEK_07460,infA
LE19-12,ALDGEK_04350,ispE
LE19-12,ALDGEK_11190,ispG
LE19-12,ALDGEK_08000,jag
LE19-12,ALDGEK_12500,labA
LE19-12,ALDGEK_18565,lepB
LE19-12,ALDGEK_03310,leuB
LE19-12,ALDGEK_01940,lnt
LE19-12,ALDGEK_15035,menA
LE19-12,ALDGEK_07680,metK
LE19-12,ALDGEK_19950,minD
LE19-12,ALDGEK_19945,minE
LE19-12,ALDGEK_07940,mlaF
LE19-12,ALDGEK_15000,moaD
LE19-12,ALDGEK_12825,mpaA
LE19-12,ALDGEK_14965,murQ
LE19-12,ALDGEK_07195,nAGPA
LE19-12,ALDGEK_08610,nfnB
LE19-12,ALDGEK_16290,nrdR
LE19-12,ALDGEK_19380,ntcA
LE19-12,ALDGEK_07750,nth
LE19-12,ALDGEK_10930,nusA
LE19-12,ALDGEK_20865,penP
LE19-12,ALDGEK_10225,petA
LE19-12,ALDGEK_20270,petL
LE19-12,ALDGEK_03455,petP
LE19-12,ALDGEK_14180,pgeF
LE19-12,ALDGEK_16570,pgpB
LE19-12,ALDGEK_22150,phaC
LE19-12,ALDGEK_07200,phaF
LE19-12,ALDGEK_18550,pheA
LE19-12,ALDGEK_07370,pilF
LE19-12,ALDGEK_01165,plsX
LE19-12,ALDGEK_05235,pntB
LE19-12,ALDGEK_06840,ppiB
LE19-12,ALDGEK_12140,pQQ
LE19-12,ALDGEK_15810,pqqL
LE19-12,ALDGEK_18150,proB
LE19-12,ALDGEK_02650,psaC
LE19-12,ALDGEK_04835,psaF
LE19-12,ALDGEK_03605,psaI
LE19-12,ALDGEK_02850,psaK
LE19-12,ALDGEK_03260,psaM
LE19-12,ALDGEK_02765,psbO
LE19-12,ALDGEK_16295,psbT
LE19-12,ALDGEK_16025,psbV
LE19-12,ALDGEK_03700,pstB
LE19-12,ALDGEK_18680,ptaN
LE19-12,ALDGEK_06695,pth
LE19-12,ALDGEK_14135,purA
LE19-12,ALDGEK_15285,purD
LE19-12,ALDGEK_19795,putP
LE19-12,ALDGEK_08025,pykF
LE19-12,ALDGEK_02900,pyrH
LE19-12,ALDGEK_20275,radA
LE19-12,ALDGEK_06910,rbcS
LE19-12,ALDGEK_03325,rfbC
LE19-12,ALDGEK_06135,ribE
LE19-12,ALDGEK_10935,rimP
LE19-12,ALDGEK_03270,rlmL
LE19-12,ALDGEK_00485,rnd
LE19-12,ALDGEK_07985,rnpA
LE19-12,ALDGEK_05920,rplB
LE19-12,ALDGEK_05905,rplC
LE19-12,ALDGEK_05965,rplE
LE19-12,ALDGEK_05975,rplF
LE19-12,ALDGEK_14940,rplI
LE19-12,ALDGEK_05955,rplN
LE19-12,ALDGEK_05940,rplP
LE19-12,ALDGEK_07435,rplQ
LE19-12,ALDGEK_05980,rplR
LE19-12,ALDGEK_14970,rplU
LE19-12,ALDGEK_05930,rplV
LE19-12,ALDGEK_05915,rplW
LE19-12,ALDGEK_05960,rplX
LE19-12,ALDGEK_14140,rplY
LE19-12,ALDGEK_05945,rpmC
LE19-12,ALDGEK_07455,rpmJ
LE19-12,ALDGEK_07440,rpoA
LE19-12,ALDGEK_19120,rpoC1
LE19-12,ALDGEK_02420,rpoE
LE19-12,ALDGEK_05935,rpsC
LE19-12,ALDGEK_05985,rpsE
LE19-12,ALDGEK_05970,rpsH
LE19-12,ALDGEK_07445,rpsK
LE19-12,ALDGEK_07450,rpsM
LE19-12,ALDGEK_05950,rpsQ
LE19-12,ALDGEK_17810,rpsT
LE19-12,ALDGEK_20480,rRM
LE19-12,ALDGEK_12510,rsbW
LE19-12,ALDGEK_03960,rseP
LE19-12,ALDGEK_07890,rsfS
LE19-12,ALDGEK_03945,rsmG
LE19-12,ALDGEK_19760,ruvA
LE19-12,ALDGEK_00725,sasA
LE19-12,ALDGEK_01535,scpB
LE19-12,ALDGEK_08100,sds
LE19-12,ALDGEK_11620,sEC59
LE19-12,ALDGEK_06780,shc
LE19-12,ALDGEK_13455,sirB1
LE19-12,ALDGEK_10340,smpB
LE19-12,ALDGEK_12505,sseA
LE19-12,ALDGEK_03065,tab2
LE19-12,ALDGEK_17815,tatD
LE19-12,ALDGEK_03255,terC
LE19-12,ALDGEK_05050,thrS
LE19-12,ALDGEK_01780,tic20
LE19-12,ALDGEK_19180,tpiA
LE19-12,ALDGEK_20850,trkG
LE19-12,ALDGEK_20860,trmJ
LE19-12,ALDGEK_07430,truA
LE19-12,ALDGEK_11175,truB
LE19-12,ALDGEK_12995,trxA
LE19-12,ALDGEK_01735,tyrS
LE19-12,ALDGEK_18055,uppP
LE19-12,ALDGEK_16690,uppS
LE19-12,ALDGEK_22265,ureE
LE19-12,ALDGEK_01435,uvrD
LE19-12,ALDGEK_15390,wzb
LE19-12,ALDGEK_06625,ybjT
LE19-12,ALDGEK_08825,ycbX
LE19-12,ALDGEK_15795,ycf12
LE19-12,ALDGEK_21240,ycf20
LE19-12,ALDGEK_10675,ycf35
LE19-12,ALDGEK_06270,ycf37
LE19-12,ALDGEK_06845,ycf4
LE19-12,ALDGEK_01825,ycf53
LE19-12,ALDGEK_20645,ycf55
LE19-12,ALDGEK_07160,ycjU
LE19-12,ALDGEK_20125,yfcH
LE19-12,ALDGEK_17835,yhbS
LE19-12,ALDGEK_07995,yidC
LE19-12,ALDGEK_08715,ylmH
LE19-12,ALDGEK_10925,ylxR
LE19-12,ALDGEK_14165,yqxC
LE19-12,Unmatched,group_7803
LE19-12,Unmatched,group_7924
