ref_genotype,gene_name,gene
LE19-84,FMDALA_04455,minE
LE19-84,FMDALA_18155,mlaF
LE19-84,FMDALA_10230,moaD
LE19-84,FMDALA_08445,mpaA
LE19-84,FMDALA_21895,mrp
LE19-84,FMDALA_13795,murQ
LE19-84,FMDALA_16755,nAGPA
LE19-84,FMDALA_11330,nfnB
LE19-84,FMDALA_11955,nrdR
LE19-84,FMDALA_02500,ntcA
LE19-84,FMDALA_13235,nth
LE19-84,FMDALA_01695,nusA
LE19-84,FMDALA_12835,penP
LE19-84,FMDALA_05610,petA
LE19-84,FMDALA_01235,petL
LE19-84,FMDALA_12910,petP
LE19-84,FMDALA_24835,pgeF
LE19-84,FMDALA_02865,pgpB
LE19-84,FMDALA_19260,phaC
LE19-84,FMDALA_16750,phaF
LE19-84,FMDALA_11590,pheA
LE19-84,FMDALA_01725,pilF
LE19-84,FMDALA_14915,plsX
LE19-84,FMDALA_13865,pntB
LE19-84,FMDALA_16370,ppiB
LE19-84,FMDALA_17905,pQQ
LE19-84,FMDALA_05405,pqqL
LE19-84,FMDALA_01440,proB
LE19-84,FMDALA_22065,psaC
LE19-84,FMDALA_16650,psaF
LE19-84,FMDALA_09690,psaI
LE19-84,FMDALA_20315,psaK
LE19-84,FMDALA_11140,psaM
LE19-84,FMDALA_21745,psbO
LE19-84,FMDALA_11950,psbT
LE19-84,FMDALA_02385,psbV
LE19-84,FMDALA_12945,pstB
LE19-84,FMDALA_01640,ptaN
LE19-84,FMDALA_07725,pth
LE19-84,FMDALA_14950,purA
LE19-84,FMDALA_15550,purD
LE19-84,FMDALA_09240,putP
LE19-84,FMDALA_11480,pykF
LE19-84,FMDALA_11055,pyrH
LE19-84,FMDALA_01240,radA
LE19-84,FMDALA_14255,rbcS
LE19-84,FMDALA_04315,rfbC
LE19-84,FMDALA_11620,ribE
LE19-84,FMDALA_01690,rimP
LE19-84,FMDALA_16705,rlmL
LE19-84,FMDALA_22875,rnd
LE19-84,FMDALA_13130,rnpA
LE19-84,FMDALA_04125,rplB
LE19-84,FMDALA_04140,rplC
LE19-84,FMDALA_04080,rplE
LE19-84,FMDALA_04070,rplF
LE19-84,FMDALA_13565,rplI
LE19-84,FMDALA_04090,rplN
LE19-84,FMDALA_04105,rplP
LE19-84,FMDALA_12210,rplQ
LE19-84,FMDALA_04065,rplR
LE19-84,FMDALA_13800,rplU
LE19-84,FMDALA_04115,rplV
LE19-84,FMDALA_04130,rplW
LE19-84,FMDALA_04085,rplX
LE19-84,FMDALA_14945,rplY
LE19-84,FMDALA_13805,rpmA
LE19-84,FMDALA_04100,rpmC
LE19-84,FMDALA_12190,rpmJ
LE19-84,FMDALA_12205,rpoA
LE19-84,FMDALA_17835,rpoC1
LE19-84,FMDALA_13215,rpoE
LE19-84,FMDALA_04110,rpsC
LE19-84,FMDALA_04060,rpsE
LE19-84,FMDALA_04075,rpsH
LE19-84,FMDALA_12200,rpsK
LE19-84,FMDALA_12195,rpsM
LE19-84,FMDALA_04095,rpsQ
LE19-84,FMDALA_18545,rpsT
LE19-84,FMDALA_00995,rRM
LE19-84,FMDALA_23620,rsbW
LE19-84,FMDALA_12385,rseP
LE19-84,FMDALA_17980,rsfS
LE19-84,FMDALA_12400,rsmG
LE19-84,FMDALA_09275,ruvA
LE19-84,FMDALA_05115,sasA
LE19-84,FMDALA_08225,scpB
LE19-84,FMDALA_11250,sds
LE19-84,FMDALA_09475,sEC59
LE19-84,FMDALA_03440,shc
LE19-84,FMDALA_09550,sirB1
LE19-84,FMDALA_21685,smpB
LE19-84,FMDALA_23615,sseA
LE19-84,FMDALA_13520,tab2
LE19-84,FMDALA_18550,tatD
LE19-84,FMDALA_11145,terC
LE19-84,FMDALA_25135,thrS
LE19-84,FMDALA_05850,tic20
LE19-84,FMDALA_05980,tpiA
LE19-84,FMDALA_12820,trkG
LE19-84,FMDALA_12830,trmJ
LE19-84,FMDALA_20310,trpF
LE19-84,FMDALA_12215,truA
LE19-84,FMDALA_17610,truB
LE19-84,FMDALA_02555,trxA
LE19-84,FMDALA_24085,tusA
LE19-84,FMDALA_05820,tyrS
LE19-84,FMDALA_07045,uppP
LE19-84,FMDALA_07360,uppS
LE19-84,FMDALA_24040,ureE
LE19-84,FMDALA_08315,uvrD
LE19-84,FMDALA_20530,wzb
LE19-84,FMDALA_07650,ybjT
LE19-84,FMDALA_21900,ycbX
LE19-84,FMDALA_01535,ycf12
LE19-84,FMDALA_08120,ycf20
LE19-84,FMDALA_19910,ycf35
LE19-84,FMDALA_22135,ycf37
LE19-84,FMDALA_16365,ycf4
LE19-84,FMDALA_24015,ycf53
LE19-84,FMDALA_17645,ycf55
LE19-84,FMDALA_16780,ycjU
LE19-84,FMDALA_07330,yfcH
LE19-84,FMDALA_18570,yhbS
LE19-84,FMDALA_13120,yidC
LE19-84,FMDALA_22000,ylmH
LE19-84,FMDALA_01700,ylxR
LE19-84,FMDALA_24850,yqxC
LE19-84,FMDALA_19495,zwf
