"Strain","Query_gene_name","Query_gene_annotation","New_BGC_name","Gene","Identity_Score","Query_Coverage","gene_type","Main_Product","Biosynthetic_Class"
"LE17-10A",NA,NA,"Lanthipeptide_WLEADA","ctg1_20_samp_4305",NA,NA,"core","Lanthipeptide","Lanthipeptide"
"LE17-10A",NA,NA,"Lanthipeptide_WLEADA","ctg1_21_samp_4305",NA,NA,"other","Lanthipeptide","Lanthipeptide"
"LE17-10A",NA,NA,"Lanthipeptide_WLEADA","ctg1_22_samp_4305",NA,NA,"core","Lanthipeptide","Lanthipeptide"
"LE17-10A",NA,NA,"Lanthipeptide_WLEADA","ctg1_23_samp_4305",NA,NA,"core","Lanthipeptide","Lanthipeptide"
"LE17-10A",NA,NA,"Lanthipeptide_WLEADA","ctg1_24_samp_4305",NA,NA,"other","Lanthipeptide","Lanthipeptide"
"LE17-10A",NA,NA,"Lanthipeptide_WLEADA","ctg1_25_samp_4305",NA,NA,"other","Lanthipeptide","Lanthipeptide"
"LE17-10A",NA,NA,"Lanthipeptide_WLEADA","ctg1_26_samp_4305",NA,NA,"other","Lanthipeptide","Lanthipeptide"
"LE17-10A",NA,NA,"Lanthipeptide_WLEADA","ctg1_27_samp_4305",NA,NA,"other","Lanthipeptide","Lanthipeptide"
"LE17-10A",NA,NA,"Lanthipeptide_WLEADA","ctg1_28_samp_4305",NA,NA,"other","Lanthipeptide","Lanthipeptide"
"LE17-10A",NA,NA,"Lanthipeptide_WLEADA","ctg1_29_samp_4305",NA,NA,"other","Lanthipeptide","Lanthipeptide"
"LE17-10A",NA,NA,"Lanthipeptide_WLEADA","ctg1_30_samp_4305",NA,NA,"other","Lanthipeptide","Lanthipeptide"
"LE17-10A",NA,NA,"Lanthipeptide_WLEADA","ctg1_31_samp_4305",NA,NA,"additional","Lanthipeptide","Lanthipeptide"
"LE17-10A",NA,NA,"NRPS1_WLEADA","ctg2_1_samp_4305",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS1_WLEADA","ctg2_2_samp_4305",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS1_WLEADA","ctg2_3_samp_4305",NA,NA,"transport","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS1_WLEADA","ctg2_4_samp_4305",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS1_WLEADA","ctg2_5_samp_4305",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS1_WLEADA","ctg2_6_samp_4305",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS1_WLEADA","ctg2_7_samp_4305",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS1_WLEADA","ctg2_8_samp_4305",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS1_WLEADA","ctg2_9_samp_4305",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS1_WLEADA","ctg2_10_samp_4305",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS1_WLEADA","ctg2_11_samp_4305",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS1_WLEADA","ctg2_12_samp_4305",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS1_WLEADA","ctg2_13_samp_4305",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS1_WLEADA","ctg2_14_samp_4305",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS1_WLEADA","ctg2_15_samp_4305",NA,NA,"additional","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS1_WLEADA","ctg2_16_samp_4305",NA,NA,"core","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS1_WLEADA","ctg2_17_samp_4305",NA,NA,"core","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS1_WLEADA","ctg2_18_samp_4305",NA,NA,"additional","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS1_WLEADA","ctg2_19_samp_4305",NA,NA,"additional","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS1_WLEADA","ctg2_20_samp_4305",NA,NA,"transport","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS1_WLEADA","ctg2_21_samp_4305",NA,NA,"core","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS1_WLEADA","ctg2_22_samp_4305",NA,NA,"additional","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS1_WLEADA","ctg2_23_samp_4305",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS1_WLEADA","ctg2_24_samp_4305",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS1_WLEADA","ctg2_25_samp_4305",NA,NA,"other","NRP","NRPS"
"LE17-10A","ALDGEK_10360","pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha","NRPS1_WLEADA","ctg2_26_samp_4305",75.58,96.14,"additional","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS1_WLEADA","ctg2_27_samp_4305",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS1_WLEADA","ctg2_28_samp_4305",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS1_WLEADA","ctg2_29_samp_4305",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS1_WLEADA","ctg2_30_samp_4305",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS1_WLEADA","ctg2_31_samp_4305",NA,NA,"regulatory","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS1_WLEADA","ctg2_32_samp_4305",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS1_WLEADA","ctg2_33_samp_4305",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS1_WLEADA","ctg2_34_samp_4305",NA,NA,"additional","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS1_WLEADA","ctg2_35_samp_4305",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS1_WLEADA","ctg2_36_samp_4305",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS1_WLEADA","ctg2_37_samp_4305",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"T1PKS1_WLEADA","ctg4_1_samp_4305",NA,NA,"other","Polyketide","Polyketide"
"LE17-10A",NA,NA,"T1PKS1_WLEADA","ctg4_2_samp_4305",NA,NA,"other","Polyketide","Polyketide"
"LE17-10A",NA,NA,"T1PKS1_WLEADA","ctg4_3_samp_4305",NA,NA,"other","Polyketide","Polyketide"
"LE17-10A",NA,NA,"T1PKS1_WLEADA","ctg4_4_samp_4305",NA,NA,"other","Polyketide","Polyketide"
"LE17-10A",NA,NA,"T1PKS1_WLEADA","ctg4_5_samp_4305",NA,NA,"other","Polyketide","Polyketide"
"LE17-10A",NA,NA,"T1PKS1_WLEADA","ctg4_6_samp_4305",NA,NA,"other","Polyketide","Polyketide"
"LE17-10A",NA,NA,"T1PKS1_WLEADA","ctg4_7_samp_4305",NA,NA,"other","Polyketide","Polyketide"
"LE17-10A",NA,NA,"T1PKS1_WLEADA","ctg4_8_samp_4305",NA,NA,"other","Polyketide","Polyketide"
"LE17-10A",NA,NA,"T1PKS1_WLEADA","ctg4_9_samp_4305",NA,NA,"other","Polyketide","Polyketide"
"LE17-10A",NA,NA,"T1PKS1_WLEADA","ctg4_10_samp_4305",NA,NA,"other","Polyketide","Polyketide"
"LE17-10A",NA,NA,"T1PKS1_WLEADA","ctg4_11_samp_4305",NA,NA,"transport","Polyketide","Polyketide"
"LE17-10A",NA,NA,"T1PKS1_WLEADA","ctg4_12_samp_4305",NA,NA,"other","Polyketide","Polyketide"
"LE17-10A",NA,NA,"T1PKS1_WLEADA","ctg4_13_samp_4305",NA,NA,"transport","Polyketide","Polyketide"
"LE17-10A",NA,NA,"T1PKS1_WLEADA","ctg4_14_samp_4305",NA,NA,"additional","Polyketide","Polyketide"
"LE17-10A",NA,NA,"T1PKS1_WLEADA","ctg4_15_samp_4305",NA,NA,"other","Polyketide","Polyketide"
"LE17-10A",NA,NA,"T1PKS1_WLEADA","ctg4_16_samp_4305",NA,NA,"additional","Polyketide","Polyketide"
"LE17-10A",NA,NA,"T1PKS1_WLEADA","ctg4_17_samp_4305",NA,NA,"core","Polyketide","Polyketide"
"LE17-10A",NA,NA,"T1PKS1_WLEADA","ctg4_18_samp_4305",NA,NA,"other","Polyketide","Polyketide"
"LE17-10A",NA,NA,"T1PKS1_WLEADA","ctg4_19_samp_4305",NA,NA,"other","Polyketide","Polyketide"
"LE17-10A",NA,NA,"T1PKS1_WLEADA","ctg4_20_samp_4305",NA,NA,"other","Polyketide","Polyketide"
"LE17-10A",NA,NA,"T1PKS1_WLEADA","ctg4_21_samp_4305",NA,NA,"additional","Polyketide","Polyketide"
"LE17-10A",NA,NA,"T1PKS1_WLEADA","ctg4_22_samp_4305",NA,NA,"other","Polyketide","Polyketide"
"LE17-10A",NA,NA,"T1PKS1_WLEADA","ctg4_23_samp_4305",NA,NA,"other","Polyketide","Polyketide"
"LE17-10A",NA,NA,"T1PKS1_WLEADA","ctg4_24_samp_4305",NA,NA,"other","Polyketide","Polyketide"
"LE17-10A",NA,NA,"T1PKS1_WLEADA","ctg4_25_samp_4305",NA,NA,"other","Polyketide","Polyketide"
"LE17-10A",NA,NA,"T1PKS1_WLEADA","ctg4_26_samp_4305",NA,NA,"other","Polyketide","Polyketide"
"LE17-10A",NA,NA,"T1PKS1_WLEADA","ctg4_27_samp_4305",NA,NA,"other","Polyketide","Polyketide"
"LE17-10A",NA,NA,"T1PKS1_WLEADA","ctg4_28_samp_4305",NA,NA,"other","Polyketide","Polyketide"
"LE17-10A",NA,NA,"T1PKS1_WLEADA","ctg4_29_samp_4305",NA,NA,"transport","Polyketide","Polyketide"
"LE17-10A",NA,NA,"T1PKS1_WLEADA","ctg4_30_samp_4305",NA,NA,"other","Polyketide","Polyketide"
"LE17-10A",NA,NA,"T1PKS1_WLEADA","ctg4_31_samp_4305",NA,NA,"other","Polyketide","Polyketide"
"LE17-10A",NA,NA,"T1PKS1_WLEADA","ctg4_32_samp_4305",NA,NA,"other","Polyketide","Polyketide"
"LE17-10A",NA,NA,"T1PKS1_WLEADA","ctg4_33_samp_4305",NA,NA,"other","Polyketide","Polyketide"
"LE17-10A",NA,NA,"T1PKS1_WLEADA","ctg4_34_samp_4305",NA,NA,"other","Polyketide","Polyketide"
"LE17-10A",NA,NA,"T1PKS1_WLEADA","ctg4_35_samp_4305",NA,NA,"other","Polyketide","Polyketide"
"LE17-10A",NA,NA,"T1PKS1_WLEADA","ctg4_36_samp_4305",NA,NA,"other","Polyketide","Polyketide"
"LE17-10A",NA,NA,"T1PKS1_WLEADA","ctg4_37_samp_4305",NA,NA,"transport","Polyketide","Polyketide"
"LE17-10A",NA,NA,"T1PKS1_WLEADA","ctg4_38_samp_4305",NA,NA,"other","Polyketide","Polyketide"
"LE17-10A",NA,NA,"T1PKS1_WLEADA","ctg4_39_samp_4305",NA,NA,"transport","Polyketide","Polyketide"
"LE17-10A",NA,NA,"T1PKS_hglEKS_WLEADA","ctg11_1_samp_4380",NA,NA,"additional","Heterocyst Glycolipids","Polyketide"
"LE17-10A",NA,NA,"T1PKS_hglEKS_WLEADA","ctg11_2_samp_4380",NA,NA,"other","Heterocyst Glycolipids","Polyketide"
"LE17-10A",NA,NA,"T1PKS_hglEKS_WLEADA","ctg11_3_samp_4380",NA,NA,"other","Heterocyst Glycolipids","Polyketide"
"LE17-10A",NA,NA,"T1PKS_hglEKS_WLEADA","ctg11_4_samp_4380",NA,NA,"other","Heterocyst Glycolipids","Polyketide"
"LE17-10A",NA,NA,"T1PKS_hglEKS_WLEADA","ctg11_5_samp_4380",NA,NA,"other","Heterocyst Glycolipids","Polyketide"
"LE17-10A",NA,NA,"T1PKS_hglEKS_WLEADA","ctg11_6_samp_4380",NA,NA,"other","Heterocyst Glycolipids","Polyketide"
"LE17-10A",NA,NA,"T1PKS_hglEKS_WLEADA","ctg11_7_samp_4380",NA,NA,"other","Heterocyst Glycolipids","Polyketide"
"LE17-10A",NA,NA,"T1PKS_hglEKS_WLEADA","ctg11_8_samp_4380",NA,NA,"additional","Heterocyst Glycolipids","Polyketide"
"LE17-10A",NA,NA,"T1PKS_hglEKS_WLEADA","ctg11_9_samp_4380",NA,NA,"other","Heterocyst Glycolipids","Polyketide"
"LE17-10A",NA,NA,"T1PKS_hglEKS_WLEADA","ctg11_10_samp_4380",NA,NA,"other","Heterocyst Glycolipids","Polyketide"
"LE17-10A",NA,NA,"T1PKS_hglEKS_WLEADA","ctg11_11_samp_4380",NA,NA,"additional","Heterocyst Glycolipids","Polyketide"
"LE17-10A",NA,NA,"T1PKS_hglEKS_WLEADA","ctg11_12_samp_4380",NA,NA,"additional","Heterocyst Glycolipids","Polyketide"
"LE17-10A",NA,NA,"T1PKS_hglEKS_WLEADA","ctg11_13_samp_4380",NA,NA,"other","Heterocyst Glycolipids","Polyketide"
"LE17-10A",NA,NA,"T1PKS_hglEKS_WLEADA","ctg11_14_samp_4380",NA,NA,"other","Heterocyst Glycolipids","Polyketide"
"LE17-10A",NA,NA,"T1PKS_hglEKS_WLEADA","ctg11_15_samp_4380",NA,NA,"transport","Heterocyst Glycolipids","Polyketide"
"LE17-10A",NA,NA,"T1PKS_hglEKS_WLEADA","ctg11_16_samp_4380",NA,NA,"additional","Heterocyst Glycolipids","Polyketide"
"LE17-10A",NA,NA,"T1PKS_hglEKS_WLEADA","ctg11_17_samp_4380",NA,NA,"additional","Heterocyst Glycolipids","Polyketide"
"LE17-10A",NA,NA,"T1PKS_hglEKS_WLEADA","ctg11_18_samp_4380",NA,NA,"additional","Heterocyst Glycolipids","Polyketide"
"LE17-10A",NA,NA,"T1PKS_hglEKS_WLEADA","ctg11_19_samp_4380",NA,NA,"core","Heterocyst Glycolipids","Polyketide"
"LE17-10A",NA,NA,"T1PKS_hglEKS_WLEADA","ctg11_20_samp_4380",NA,NA,"core","Heterocyst Glycolipids","Polyketide"
"LE17-10A",NA,NA,"T1PKS_hglEKS_WLEADA","ctg11_21_samp_4380",NA,NA,"other","Heterocyst Glycolipids","Polyketide"
"LE17-10A",NA,NA,"T1PKS_hglEKS_WLEADA","ctg11_22_samp_4380",NA,NA,"core","Heterocyst Glycolipids","Polyketide"
"LE17-10A",NA,NA,"T1PKS_hglEKS_WLEADA","ctg11_23_samp_4380",NA,NA,"transport","Heterocyst Glycolipids","Polyketide"
"LE17-10A",NA,NA,"T1PKS_hglEKS_WLEADA","ctg11_24_samp_4380",NA,NA,"other","Heterocyst Glycolipids","Polyketide"
"LE17-10A",NA,NA,"T1PKS_hglEKS_WLEADA","ctg11_25_samp_4380",NA,NA,"additional","Heterocyst Glycolipids","Polyketide"
"LE17-10A",NA,NA,"T1PKS_hglEKS_WLEADA","ctg11_26_samp_4380",NA,NA,"other","Heterocyst Glycolipids","Polyketide"
"LE17-10A",NA,NA,"T1PKS_hglEKS_WLEADA","ctg11_27_samp_4380",NA,NA,"additional","Heterocyst Glycolipids","Polyketide"
"LE17-10A",NA,NA,"T1PKS_hglEKS_WLEADA","ctg11_28_samp_4380",NA,NA,"additional","Heterocyst Glycolipids","Polyketide"
"LE17-10A",NA,NA,"T1PKS_hglEKS_WLEADA","ctg11_29_samp_4380",NA,NA,"other","Heterocyst Glycolipids","Polyketide"
"LE17-10A",NA,NA,"T1PKS_hglEKS_WLEADA","ctg11_30_samp_4380",NA,NA,"other","Heterocyst Glycolipids","Polyketide"
"LE17-10A",NA,NA,"T1PKS_hglEKS_WLEADA","ctg11_31_samp_4380",NA,NA,"other","Heterocyst Glycolipids","Polyketide"
"LE17-10A",NA,NA,"T1PKS_hglEKS_WLEADA","ctg11_32_samp_4380",NA,NA,"other","Heterocyst Glycolipids","Polyketide"
"LE17-10A",NA,NA,"T1PKS_hglEKS_WLEADA","ctg11_33_samp_4380",NA,NA,"other","Heterocyst Glycolipids","Polyketide"
"LE17-10A",NA,NA,"T1PKS_hglEKS_WLEADA","ctg11_34_samp_4380",NA,NA,"other","Heterocyst Glycolipids","Polyketide"
"LE17-10A",NA,NA,"T1PKS_hglEKS_WLEADA","ctg11_35_samp_4380",NA,NA,"other","Heterocyst Glycolipids","Polyketide"
"LE17-10A",NA,NA,"T1PKS_hglEKS_WLEADA","ctg11_36_samp_4380",NA,NA,"other","Heterocyst Glycolipids","Polyketide"
"LE17-10A",NA,NA,"T1PKS_hglEKS_WLEADA","ctg11_37_samp_4380",NA,NA,"other","Heterocyst Glycolipids","Polyketide"
"LE17-10A",NA,NA,"T1PKS_hglEKS_WLEADA","ctg11_38_samp_4380",NA,NA,"other","Heterocyst Glycolipids","Polyketide"
"LE17-10A",NA,NA,"T1PKS_hglEKS_WLEADA","ctg11_39_samp_4380",NA,NA,"other","Heterocyst Glycolipids","Polyketide"
"LE17-10A",NA,NA,"T1PKS_hglEKS_WLEADA","ctg11_40_samp_4380",NA,NA,"other","Heterocyst Glycolipids","Polyketide"
"LE17-10A",NA,NA,"T1PKS_hglEKS_WLEADA","ctg11_41_samp_4380",NA,NA,"other","Heterocyst Glycolipids","Polyketide"
"LE17-10A",NA,NA,"T1PKS_hglEKS_WLEADA","ctg11_42_samp_4380",NA,NA,"other","Heterocyst Glycolipids","Polyketide"
"LE17-10A",NA,NA,"NRPS2_WLEADA","ctg16_1_samp_4380",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS2_WLEADA","ctg16_2_samp_4380",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS2_WLEADA","ctg16_3_samp_4380",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS2_WLEADA","ctg16_4_samp_4380",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS2_WLEADA","ctg16_5_samp_4380",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS2_WLEADA","ctg16_6_samp_4380",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS2_WLEADA","ctg16_7_samp_4380",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS2_WLEADA","ctg16_8_samp_4380",NA,NA,"additional","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS2_WLEADA","ctg16_9_samp_4380",NA,NA,"additional","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS2_WLEADA","ctg16_10_samp_4380",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS2_WLEADA","ctg16_11_samp_4380",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS2_WLEADA","ctg16_12_samp_4380",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS2_WLEADA","ctg16_13_samp_4380",NA,NA,"additional","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS2_WLEADA","ctg16_14_samp_4380",NA,NA,"additional","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS2_WLEADA","ctg16_15_samp_4380",NA,NA,"additional","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS2_WLEADA","ctg16_16_samp_4380",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS2_WLEADA","ctg16_17_samp_4380",NA,NA,"additional","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS2_WLEADA","ctg16_18_samp_4380",NA,NA,"core","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS2_WLEADA","ctg16_19_samp_4380",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS2_WLEADA","ctg16_20_samp_4380",NA,NA,"additional","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS2_WLEADA","ctg16_21_samp_4380",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS2_WLEADA","ctg16_22_samp_4380",NA,NA,"additional","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS2_WLEADA","ctg16_23_samp_4380",NA,NA,"additional","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS2_WLEADA","ctg16_24_samp_4380",NA,NA,"additional","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS2_WLEADA","ctg16_25_samp_4380",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS2_WLEADA","ctg16_26_samp_4380",NA,NA,"additional","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS2_WLEADA","ctg16_27_samp_4380",NA,NA,"additional","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS2_WLEADA","ctg16_28_samp_4380",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS2_WLEADA","ctg16_29_samp_4380",NA,NA,"additional","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS2_WLEADA","ctg16_30_samp_4380",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS2_WLEADA","ctg16_31_samp_4380",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"LAP_WLEADA","ctg17_1_samp_2073",NA,NA,"transport","LAP","LAP"
"LE17-10A",NA,NA,"LAP_WLEADA","ctg17_2_samp_2073",NA,NA,"other","LAP","LAP"
"LE17-10A",NA,NA,"LAP_WLEADA","ctg17_3_samp_2073",NA,NA,"transport","LAP","LAP"
"LE17-10A",NA,NA,"LAP_WLEADA","ctg17_4_samp_2073",NA,NA,"other","LAP","LAP"
"LE17-10A",NA,NA,"LAP_WLEADA","ctg17_5_samp_2073",NA,NA,"additional","LAP","LAP"
"LE17-10A",NA,NA,"LAP_WLEADA","ctg17_6_samp_2073",NA,NA,"core","LAP","LAP"
"LE17-10A",NA,NA,"LAP_WLEADA","ctg17_7_samp_2073",NA,NA,"core","LAP","LAP"
"LE17-10A",NA,NA,"LAP_WLEADA","ctg17_8_samp_2073",NA,NA,"other","LAP","LAP"
"LE17-10A",NA,NA,"LAP_WLEADA","ctg17_9_samp_2073",NA,NA,"other","LAP","LAP"
"LE17-10A",NA,NA,"LAP_WLEADA","ctg17_10_samp_2073",NA,NA,"other","LAP","LAP"
"LE17-10A",NA,NA,"LAP_WLEADA","ctg17_11_samp_2073",NA,NA,"other","LAP","LAP"
"LE17-10A",NA,NA,"LAP_WLEADA","ctg17_12_samp_2073",NA,NA,"other","LAP","LAP"
"LE17-10A",NA,NA,"LAP_WLEADA","ctg17_13_samp_2073",NA,NA,"other","LAP","LAP"
"LE17-10A",NA,NA,"LAP_WLEADA","ctg17_14_samp_2073",NA,NA,"other","LAP","LAP"
"LE17-10A",NA,NA,"LAP_WLEADA","ctg17_15_samp_2073",NA,NA,"other","LAP","LAP"
"LE17-10A",NA,NA,"LAP_WLEADA","ctg17_16_samp_2073",NA,NA,"other","LAP","LAP"
"LE17-10A",NA,NA,"LAP_WLEADA","ctg17_17_samp_2073",NA,NA,"other","LAP","LAP"
"LE17-10A",NA,NA,"LAP_WLEADA","ctg17_18_samp_2073",NA,NA,"other","LAP","LAP"
"LE17-10A",NA,NA,"LAP_WLEADA","ctg17_19_samp_2073",NA,NA,"other","LAP","LAP"
"LE17-10A",NA,NA,"NRPS3_WLEADA","ctg20_1_samp_2073",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS3_WLEADA","ctg20_2_samp_2073",NA,NA,"other","NRP","NRPS"
"LE17-10A","ALDGEK_15020","rhodanese-related sulfurtransferase","NRPS3_WLEADA","ctg20_3_samp_2073",97.94,100,"additional","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS3_WLEADA","ctg20_4_samp_2073",NA,NA,"core","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS3_WLEADA","ctg20_5_samp_2073",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS3_WLEADA","ctg20_6_samp_2073",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS3_WLEADA","ctg20_7_samp_2073",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS3_WLEADA","ctg20_8_samp_2073",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS3_WLEADA","ctg20_9_samp_2073",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS3_WLEADA","ctg20_10_samp_2073",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS3_WLEADA","ctg20_11_samp_2073",NA,NA,"additional","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS3_WLEADA","ctg20_12_samp_2073",NA,NA,"core","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS3_WLEADA","ctg20_13_samp_2073",NA,NA,"other","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS3_WLEADA","ctg20_14_samp_2073",NA,NA,"additional","NRP","NRPS"
"LE17-10A",NA,NA,"NRPS3_WLEADA","ctg20_15_samp_2073",NA,NA,"transport","NRP","NRPS"
