Query_gene_name	Query_gene_annotation	Reference_Name_lauren	Reference_Name_antiSMASH	Not_in_Lauren	Not_in_antiSMASH	Both_match	Main_Product	Biosynthetic_Class	Organism	Gene	New_BGC_name	gene_type	pos_in_bgc	core_genes	genes_in_bgc
BHKFFO_01020	hypothetical protein	ctg34_2_Bartoloside-T1PKS_18_0	NA	FALSE	TRUE	FALSE	Bartoloside-T1PKS	Polyketide	Microcystis aeruginosa WLECC	ctg34_2	Bartoloside-like-T1PKS-Microcystis aeruginosa WLECC	other	2	1	28
BHKFFO_01580	oxidoreductase	ctg20_13_NRPS-T1PKS_26_0	NA	FALSE	TRUE	FALSE	NRPS-T1PKS	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg20_13	NRPS-T1PKS-Microcystis aeruginosa WLECC	additional	13	3	15
BHKFFO_01585	LprI domain-containing protein	ctg20_14_NRPS-T1PKS_26_0	NA	FALSE	TRUE	FALSE	NRPS-T1PKS	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg20_14	NRPS-T1PKS-Microcystis aeruginosa WLECC	other	14	3	15
BHKFFO_01595	HAD family phosphatase	ctg20_15_NRPS-T1PKS_26_0	NA	FALSE	TRUE	FALSE	NRPS-T1PKS	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg20_15	NRPS-T1PKS-Microcystis aeruginosa WLECC	additional	15	3	15
BHKFFO_01775	RTX-I toxin determinant A from serotypes 1/9	NA	LE19195_piricyclamide_O9300_01860	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
BHKFFO_01780	Cobalt transport protein	NA	LE19195_piricyclamide_O9300_01865	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
BHKFFO_01785	ribosome biogenesis GTPase Der	NA	LE19195_piricyclamide_O9300_01870	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
BHKFFO_01790	XRE family transcriptional regulator	NA	LE19195_piricyclamide_O9300_01875	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
BHKFFO_01795	hypothetical protein	NA	LE19195_piricyclamide_O9300_01880	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
BHKFFO_01800	"Gamma-glutamyl cyclotransferase, AIG2-like"	NA	LE19195_piricyclamide_O9300_01885	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
BHKFFO_01805	aldo/keto reductase	NA	LE19195_piricyclamide_O9300_01890	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
BHKFFO_01810	peptidase S8	"AFK79998.1_pirG_MicrocystisaeruginosaPCC7005_piricyclamide7005E1,piricyclamide7005E2,piricyclamide7005E3,piricyclamide7005E4"	LE19195_piricyclamide_O9300_01895	FALSE	FALSE	TRUE	"piricyclamide 7005E1, piricyclamide 7005E2, piricyclamide 7005E3, piricyclamide 7005E4"	RiPP	Microcystis aeruginosa PCC 7005	pirG	Piricyclamide-Microcystis	core	12	2	12
BHKFFO_01815	Putative restriction endonuclease	"AFK79997.1_AFK79997.1_MicrocystisaeruginosaPCC7005_piricyclamide7005E1,piricyclamide7005E2,piricyclamide7005E3,piricyclamide7005E4"	LE19195_piricyclamide_O9300_01900	FALSE	FALSE	TRUE	"piricyclamide 7005E1, piricyclamide 7005E2, piricyclamide 7005E3, piricyclamide 7005E4"	RiPP	Microcystis aeruginosa PCC 7005	AFK79997.1	Piricyclamide-Microcystis	other	11	2	12
BHKFFO_01820	hypothetical protein	ctg39_3_Cyanobactin_50_0	LE19195_piricyclamide_O9300_01905	FALSE	FALSE	TRUE	Cyanobactin	Cyanobactin	Microcystis aeruginosa WLECC	ctg39_3	Cyanobactin-Microcystis aeruginosa WLECC	other	3	2	15
BHKFFO_01825	cyanobactin biosynthesis system PatB/AcyB/McaB family protein	"AFK79994.1_pirB_MicrocystisaeruginosaPCC7005_piricyclamide7005E1,piricyclamide7005E2,piricyclamide7005E3,piricyclamide7005E4"	LE19195_piricyclamide_O9300_01910	FALSE	FALSE	TRUE	"piricyclamide 7005E1, piricyclamide 7005E2, piricyclamide 7005E3, piricyclamide 7005E4"	RiPP	Microcystis aeruginosa PCC 7005	pirB	Piricyclamide-Microcystis	other	8	2	12
BHKFFO_01885	IS200/IS605 family transposase	ctg27_29_T1PKS-Terpene_11_0	NA	FALSE	TRUE	FALSE	T1PKS-Terpene	Hybrid	Microcystis aeruginosa WLECC	ctg27_29	T1PKS-Terpene-Microcystis aeruginosa WLECC	other	29	2	42
BHKFFO_02195	Glycogen debranching protein	ctg28_3_RiPP-like_84_0	NA	FALSE	TRUE	FALSE	RiPP-like	RiPP	Microcystis aeruginosa WLECC	ctg28_3	RiPP-like-Microcystis aeruginosa WLECC	other	3	1	7
BHKFFO_02200	Dolichyl-phosphate-mannose-protein mannosyltransferase	ctg28_2_RiPP-like_84_0	NA	FALSE	TRUE	FALSE	RiPP-like	RiPP	Microcystis aeruginosa WLECC	ctg28_2	RiPP-like-Microcystis aeruginosa WLECC	other	2	1	7
BHKFFO_02475	glutamate--cysteine ligase	ctg30_9_Novel-T3PKS_28_0	NA	FALSE	TRUE	FALSE	Novel-T3PKS	Polyketide	Microcystis aeruginosa WLECC	ctg30_9	Novel-T3PKS-Microcystis aeruginosa WLECC	additional	9	1	18
BHKFFO_02480	resolvase	ctg30_8_Novel-T3PKS_28_0	NA	FALSE	TRUE	FALSE	Novel-T3PKS	Polyketide	Microcystis aeruginosa WLECC	ctg30_8	Novel-T3PKS-Microcystis aeruginosa WLECC	other	8	1	18
BHKFFO_02525	carotenoid biosynthesis protein	ctg30_17_Novel-T3PKS_28_0	NA	FALSE	TRUE	FALSE	Novel-T3PKS	Polyketide	Microcystis aeruginosa WLECC	ctg30_17	Novel-T3PKS-Microcystis aeruginosa WLECC	other	17	1	18
BHKFFO_03205	undecaprenyl-diphosphate phosphatase	ctg83_4_lanthipeptide_21_0	NA	FALSE	TRUE	FALSE	lanthipeptide	Lanthipeptide	Microcystis aeruginosa WLECC	ctg83_4	lanthipeptide-Microcystis aeruginosa WLECC	other	4	2	25
BHKFFO_03210	alpha/beta hydrolase	ctg83_18_lanthipeptide_21_0	NA	FALSE	TRUE	FALSE	NA	NA	Dolichospermum	ctg83_18_lanthipeptide_21	NA	NA	NA	NA	1
BHKFFO_03220	ATP-dependent protease ATP-binding subunit ClpX	ctg83_19_lanthipeptide_21_0	NA	FALSE	TRUE	FALSE	lanthipeptide	Lanthipeptide	Microcystis aeruginosa WLECC	ctg83_19	lanthipeptide-Microcystis aeruginosa WLECC	other	19	2	25
BHKFFO_03225	ATP-dependent Clp endopeptidase proteolytic subunit ClpP	ctg83_20_lanthipeptide_21_0	NA	FALSE	TRUE	FALSE	lanthipeptide	Lanthipeptide	Microcystis aeruginosa WLECC	ctg83_20	lanthipeptide-Microcystis aeruginosa WLECC	other	20	2	25
BHKFFO_03230	trigger factor	ctg83_21_lanthipeptide_21_0	NA	FALSE	TRUE	FALSE	lanthipeptide	Lanthipeptide	Microcystis aeruginosa WLECC	ctg83_21	lanthipeptide-Microcystis aeruginosa WLECC	other	21	2	25
BHKFFO_03235	aspartate-semialdehyde dehydrogenase	ctg83_22_lanthipeptide_21_0	NA	FALSE	TRUE	FALSE	lanthipeptide	Lanthipeptide	Microcystis aeruginosa WLECC	ctg83_22	lanthipeptide-Microcystis aeruginosa WLECC	additional	22	2	25
BHKFFO_03240	4-hydroxy-tetrahydrodipicolinate synthase	ctg83_23_lanthipeptide_21_0	NA	FALSE	TRUE	FALSE	lanthipeptide	Lanthipeptide	Microcystis aeruginosa WLECC	ctg83_23	lanthipeptide-Microcystis aeruginosa WLECC	other	23	2	25
BHKFFO_03245	ribonuclease J	ctg83_24_lanthipeptide_21_0	NA	FALSE	TRUE	FALSE	lanthipeptide	Lanthipeptide	Microcystis aeruginosa WLECC	ctg83_24	lanthipeptide-Microcystis aeruginosa WLECC	other	24	2	25
BHKFFO_03250	nickel pincer cofactor biosynthesis protein LarB	ctg83_25_lanthipeptide_21_0	NA	FALSE	TRUE	FALSE	lanthipeptide	Lanthipeptide	Microcystis aeruginosa WLECC	ctg83_25	lanthipeptide-Microcystis aeruginosa WLECC	other	25	2	25
BHKFFO_03255	1-deoxy-D-xylulose-5-phosphate synthase	ctg83_26_lanthipeptide_21_0	NA	FALSE	TRUE	FALSE	lanthipeptide	Lanthipeptide	Microcystis aeruginosa WLECC	ctg83_26	lanthipeptide-Microcystis aeruginosa WLECC	additional	26	2	25
BHKFFO_03475	hypothetical protein	ctg3_7_lanthipeptide_54_0	NA	FALSE	TRUE	FALSE	lanthipeptide	Lanthipeptide	Microcystis aeruginosa WLECC	ctg3_7	lanthipeptide-Microcystis aeruginosa WLECC	other	9	1	20
BHKFFO_03480	clan AA aspartic protease	ctg3_6_lanthipeptide_54_0	NA	FALSE	TRUE	FALSE	lanthipeptide	Lanthipeptide	Microcystis aeruginosa WLECC	ctg3_6	lanthipeptide-Microcystis aeruginosa WLECC	other	8	1	20
BHKFFO_03545	transglutaminase	ctg82_2_T3PKS-Merocyclophane_5_0	LE19195_PmNT3_O9300_03755	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_2	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	other	2	4	37
BHKFFO_03550	cysteine--tRNA ligase	ctg82_3_T3PKS-Merocyclophane_5_0	LE19195_PmNT3_O9300_03760	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_3	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	other	3	4	37
BHKFFO_03555	glycine/betaine ABC transporter substrate-binding protein	ctg82_4_T3PKS-Merocyclophane_5_0	LE19195_PmNT3_O9300_03765	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_4	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	transport	4	4	37
BHKFFO_03560	metal-binding protein	ctg82_5_T3PKS-Merocyclophane_5_0	LE19195_PmNT3_O9300_03770	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_5	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	other	5	4	37
BHKFFO_03565	bifunctional orotidine-5'-phosphate decarboxylase/orotate phosphoribosyltransferase	ctg82_6_T3PKS-Merocyclophane_5_0	LE19195_PmNT3_O9300_03775	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_6	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	other	6	4	37
BHKFFO_03570	hypothetical protein	ctg82_7_T3PKS-Merocyclophane_5_0	LE19195_PmNT3_O9300_03780	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_7	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	other	7	4	37
BHKFFO_03575	23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB	ctg82_8_T3PKS-Merocyclophane_5_0	LE19195_PmNT3_O9300_03785	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_8	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	other	8	4	37
BHKFFO_03580	Mini-ribonuclease 3	ctg82_9_T3PKS-Merocyclophane_5_0	LE19195_PmNT3_O9300_03790	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_9	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	other	9	4	37
BHKFFO_03585	anti-sigma F factor antagonist	ctg82_10_T3PKS-Merocyclophane_5_0	LE19195_PmNT3_O9300_03795	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_10	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	other	10	4	37
BHKFFO_03590	carbamoyl phosphate synthase small subunit	ctg82_11_T3PKS-Merocyclophane_5_0	LE19195_PmNT3_O9300_03800	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_11	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	additional	11	4	37
BHKFFO_03595	transposase	ctg82_12_T3PKS-Merocyclophane_5_0	LE19195_PmNT3_O9300_03805	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_12	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	other	12	4	37
BHKFFO_03600	receptor ligand binding region family protein	ctg82_13_T3PKS-Merocyclophane_5_0	LE19195_PmNT3_O9300_03810	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_13	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	transport	13	4	37
BHKFFO_03605	AAA-like domain-containing protein	ctg82_14_T3PKS-Merocyclophane_5_0	LE19195_PmNT3_O9300_03815	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_14	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	other	14	4	37
BHKFFO_03610	bleomycin resistance protein	ctg82_15_T3PKS-Merocyclophane_5_0	LE19195_PmNT3_O9300_03820	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_15	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	other	15	4	37
BHKFFO_03615	nitroreductase family protein	ctg82_16_T3PKS-Merocyclophane_5_0	LE19195_PmNT3_O9300_03825	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_16	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	additional	16	4	37
BHKFFO_03620	AMP-binding enzyme family protein	ctg82_17_T3PKS-Merocyclophane_5_0	LE19195_PmNT3_O9300_03830	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_17	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	core	17	4	37
BHKFFO_03625	short chain dehydrogenase	ctg82_18_T3PKS-Merocyclophane_5_0	LE19195_PmNT3_O9300_03835	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_18	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	core	18	4	37
BHKFFO_03630	type I polyketide synthase	ctg82_19_T3PKS-Merocyclophane_5_0	LE19195_PmNT3_O9300_03840	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_19	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	core	19	4	37
BHKFFO_03635	flavin-binding monooxygenase-like family protein	ctg82_20_T3PKS-Merocyclophane_5_0	LE19195_PmNT3_O9300_03845	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_20	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	additional	20	4	37
BHKFFO_03640	3-oxoacyl-ACP synthase	ctg82_21_T3PKS-Merocyclophane_5_0	LE19195_PmNT3_O9300_03850	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_21	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	core	21	4	37
BHKFFO_03645	isoprenylcysteine carboxyl methyltransferase	ctg82_22_T3PKS-Merocyclophane_5_0	LE19195_PmNT3_O9300_03855	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_22	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	additional	22	4	37
BHKFFO_03650	FAD-linked oxidase	ctg82_23_T3PKS-Merocyclophane_5_0	LE19195_PmNT3_O9300_03860	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_23	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	other	23	4	37
BHKFFO_03655	MFS transporter	ctg82_24_T3PKS-Merocyclophane_5_0	LE19195_PmNT3_O9300_03865	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_24	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	other	24	4	37
BHKFFO_03660	efflux RND transporter periplasmic adaptor subunit	ctg82_25_T3PKS-Merocyclophane_5_0	LE19195_PmNT3_O9300_03870	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_25	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	transport	25	4	37
BHKFFO_03665	acriflavine resistance protein B	ctg82_26_T3PKS-Merocyclophane_5_0	LE19195_PmNT3_O9300_03875	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_26	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	transport	26	4	37
BHKFFO_03670	hypothetical protein	ctg82_27_T3PKS-Merocyclophane_5_0	LE19195_PmNT3_O9300_03880	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_27	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	other	27	4	37
BHKFFO_03675	hypothetical protein	ctg82_28_T3PKS-Merocyclophane_5_0	LE19195_PmNT3_O9300_03885	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_28	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	other	28	4	37
BHKFFO_03680	Phosphomannomutase	ctg82_29_T3PKS-Merocyclophane_5_0	LE19195_PmNT3_O9300_03890	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_29	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	other	29	4	37
BHKFFO_03685	serine/threonine protein kinase	ctg82_30_T3PKS-Merocyclophane_5_0	LE19195_PmNT3_O9300_03895	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_30	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	regulatory	30	4	37
BHKFFO_03690	rhodanese-related sulfurtransferase	ctg82_31_T3PKS-Merocyclophane_5_0	LE19195_PmNT3_O9300_03900	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_31	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	other	31	4	37
BHKFFO_03700	DNA repair protein RecO	ctg82_32_T3PKS-Merocyclophane_5_0	LE19195_PmNT3_O9300_03910	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_32	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	other	32	4	37
BHKFFO_03705	arabinose efflux permease	ctg82_33_T3PKS-Merocyclophane_5_0	LE19195_PmNT3_O9300_03915	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_33	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	transport	33	4	37
BHKFFO_03710	DUF4351 domain-containing protein	ctg82_34_T3PKS-Merocyclophane_5_0	LE19195_PmNT3_O9300_03920	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_34	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	other	34	4	37
BHKFFO_03715	Uncharacterised protein family (UPF0175)	ctg82_35_T3PKS-Merocyclophane_5_0	LE19195_PmNT3_O9300_03925	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_35	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	other	35	4	37
BHKFFO_03720	DUF3368 domain-containing protein	ctg82_36_T3PKS-Merocyclophane_5_0	LE19195_PmNT3_O9300_03930	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_36	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	other	36	4	37
BHKFFO_03725	Alkaline phosphatase	ctg82_37_T3PKS-Merocyclophane_5_0	LE19195_PmNT3_O9300_03935	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_37	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	other	37	4	37
BHKFFO_04220	pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha	ctg2_26_samp_4305_693378_NRPS	NA	FALSE	TRUE	FALSE	NRP	NRPS	Dolichospermum	ctg2_26_samp_4305	NRPS1_WLEADA	additional	26	3	37
BHKFFO_04750	DUF2281 domain-containing protein	ctg3_1_lanthipeptide_54_0	NA	FALSE	TRUE	FALSE	lanthipeptide	Lanthipeptide	Microcystis aeruginosa WLECC	ctg3_1	lanthipeptide-Microcystis aeruginosa WLECC	other	1	1	20
BHKFFO_04845	glutathione peroxidase	ctg83_3_lanthipeptide_21_0	NA	FALSE	TRUE	FALSE	lanthipeptide	Lanthipeptide	Microcystis aeruginosa WLECC	ctg83_3	lanthipeptide-Microcystis aeruginosa WLECC	additional	3	2	25
BHKFFO_04850	putative transposase	ctg27_30_T1PKS-Terpene_11_0	LE19195_terpene_09300_09010	FALSE	FALSE	TRUE	T1PKS-Terpene	Hybrid	Microcystis aeruginosa WLECC	ctg27_30	T1PKS-Terpene-Microcystis aeruginosa WLECC	other	30	2	42
BHKFFO_05060	aluminum resistance family protein	ctg30_5_Novel-T3PKS_28_0	NA	FALSE	TRUE	FALSE	Novel-T3PKS	Polyketide	Microcystis aeruginosa WLECC	ctg30_5	Novel-T3PKS-Microcystis aeruginosa WLECC	other	5	1	18
BHKFFO_05070	Uncharacterized protein sll0103	ctg30_6_Novel-T3PKS_28_0	NA	FALSE	TRUE	FALSE	Novel-T3PKS	Polyketide	Microcystis aeruginosa WLECC	ctg30_6	Novel-T3PKS-Microcystis aeruginosa WLECC	other	6	1	18
BHKFFO_05325	peptidase S8	ctg13_1_Cyanobactin_64_0	LE19195_prenylagaramideB_O9300_05610	FALSE	FALSE	TRUE	Cyanobactin	Cyanobactin	Microcystis aeruginosa WLECC	ctg13_1	Cyanobactin-Microcystis aeruginosa WLECC	core	1	1	13
BHKFFO_05330	Putative restriction endonuclease	ctg13_2_Cyanobactin_64_0	LE19195_prenylagaramideB_O9300_05615	FALSE	FALSE	TRUE	Cyanobactin	Cyanobactin	Microcystis aeruginosa WLECC	ctg13_2	Cyanobactin-Microcystis aeruginosa WLECC	other	2	1	13
BHKFFO_05335	DUF29 domain-containing protein	ctg13_3_Cyanobactin_64_0	LE19195_prenylagaramideB_O9300_05620	FALSE	FALSE	TRUE	Cyanobactin	Cyanobactin	Microcystis aeruginosa WLECC	ctg13_3	Cyanobactin-Microcystis aeruginosa WLECC	other	3	1	13
BHKFFO_05340	Uma2 family endonuclease	ctg13_4_Cyanobactin_64_0	LE19195_prenylagaramideB_O9300_05625	FALSE	FALSE	TRUE	Cyanobactin	Cyanobactin	Microcystis aeruginosa WLECC	ctg13_4	Cyanobactin-Microcystis aeruginosa WLECC	other	4	1	13
BHKFFO_05345	anacyclamide synthesis protein AcyF	ctg13_5_Cyanobactin_64_0	LE19195_prenylagaramideB_O9300_05630	FALSE	FALSE	TRUE	Cyanobactin	Cyanobactin	Microcystis aeruginosa WLECC	ctg13_5	Cyanobactin-Microcystis aeruginosa WLECC	other	5	1	13
BHKFFO_05350	transposase	ctg13_6_Cyanobactin_64_0	LE19195_prenylagaramideB_O9300_05635	FALSE	FALSE	TRUE	Cyanobactin	Cyanobactin	Microcystis aeruginosa WLECC	ctg13_6	Cyanobactin-Microcystis aeruginosa WLECC	other	6	1	13
BHKFFO_05355	imidazole glycerol phosphate synthase subunit HisH	ctg13_7_Cyanobactin_64_0	LE19195_prenylagaramideB_O9300_05640	FALSE	FALSE	TRUE	Cyanobactin	Cyanobactin	Microcystis aeruginosa WLECC	ctg13_7	Cyanobactin-Microcystis aeruginosa WLECC	other	7	1	13
